;winner
EUW1_5742729345;red
EUW1_5742737944;blue
EUW1_5742745228;red
EUW1_5742750793;red
EUW1_5742769366;red
EUW1_5742776937;blue
EUW1_5742784252;red
EUW1_5742784502;blue
EUW1_5742789966;red
EUW1_5742793641;blue
EUW1_5742796597;red
EUW1_5742843803;blue
EUW1_5742845489;blue
EUW1_5742846136;red
EUW1_5742851108;blue
EUW1_5742866308;red
EUW1_5742868676;red
EUW1_5742869035;red
EUW1_5742871248;red
EUW1_5742906947;red
EUW1_5742910113;red
EUW1_5742912007;red
EUW1_5742918294;blue
EUW1_5742930478;red
EUW1_5742931807;red
EUW1_5742936448;red
EUW1_5742960392;blue
EUW1_5742963223;blue
EUW1_5742970049;blue
EUW1_5742990853;red
EUW1_5742999120;blue
EUW1_5743004243;blue
EUW1_5743006295;red
EUW1_5743017992;blue
EUW1_5743029966;red
EUW1_5743038488;red
EUW1_5743050369;blue
EUW1_5743051816;red
EUW1_5743060876;red
EUW1_5743061741;red
EUW1_5743063554;blue
EUW1_5743074492;red
EUW1_5743079975;red
EUW1_5743090899;red
EUW1_5743091970;red
EUW1_5743095866;red
EUW1_5743112888;blue
EUW1_5743178559;blue
EUW1_5743181760;blue
EUW1_5743199314;blue
EUW1_5743200423;red
EUW1_5743217706;blue
EUW1_5743218280;red
EUW1_5743241627;blue
EUW1_5743250900;blue
EUW1_5743259546;blue
EUW1_5743282563;blue
EUW1_5743292545;red
EUW1_5743297622;red
EUW1_5743302467;red
EUW1_5743307409;red
EUW1_5743309210;red
EUW1_5743313971;red
EUW1_5743321266;blue
EUW1_5743325523;red
EUW1_5743326400;blue
EUW1_5743327366;blue
EUW1_5743330787;blue
EUW1_5743332341;blue
EUW1_5743346200;red
EUW1_5743349564;red
EUW1_5743354214;blue
EUW1_5743354284;blue
EUW1_5743367802;red
EUW1_5743369393;blue
EUW1_5743371997;blue
EUW1_5743381454;red
EUW1_5743382458;red
EUW1_5743388192;blue
EUW1_5743397654;red
EUW1_5743398803;blue
EUW1_5743402921;red
EUW1_5743413630;blue
EUW1_5743420194;blue
EUW1_5743441937;blue
EUW1_5743445621;red
EUW1_5743446032;red
EUW1_5743454316;blue
EUW1_5743459564;red
EUW1_5743464626;blue
EUW1_5743472190;blue
EUW1_5743473032;red
